epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,30035.7,0.70404,0.37478,0.91855,0.95377,0.97352,0.98598,0.86581,0.5881,0.29307,0.84412,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,30372.8,0.69899,0.37492,0.91665,0.9543,0.97307,0.98604,0.86546,0.58804,0.29273,0.84395,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,30709.7,0.69636,0.37156,0.91437,0.95469,0.97307,0.98605,0.86615,0.58781,0.29226,0.84369,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,31046.5,0.69461,0.36947,0.91403,0.95446,0.97398,0.9861,0.8662,0.5874,0.2916,0.84353,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,31383.9,0.69429,0.36696,0.91397,0.95452,0.97369,0.98616,0.86651,0.58721,0.29105,0.84333,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,31720.6,0.69297,0.3673,0.91424,0.95521,0.97284,0.98624,0.86663,0.58687,0.29071,0.8431,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,32057.8,0.69113,0.36795,0.91266,0.95535,0.97316,0.98624,0.86698,0.58669,0.29018,0.84286,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,32394.5,0.69017,0.36514,0.91402,0.95601,0.97307,0.98628,0.86724,0.58646,0.28966,0.84274,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,32730.6,0.68697,0.36537,0.91087,0.95639,0.97281,0.9863,0.86742,0.58644,0.28936,0.84262,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,33067.4,0.6858,0.36211,0.91027,0.95625,0.97307,0.98638,0.86749,0.58632,0.28881,0.84247,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,33404.2,0.68759,0.36364,0.91178,0.9562,0.97316,0.98645,0.86737,0.58621,0.28826,0.84229,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,33740.8,0.68232,0.35975,0.90938,0.95618,0.9727,0.98648,0.86736,0.58599,0.28781,0.84216,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,34078,0.68159,0.35931,0.90721,0.9562,0.97317,0.98654,0.86725,0.58591,0.28743,0.84202,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,34414.9,0.67891,0.35562,0.90797,0.95639,0.97271,0.98659,0.86759,0.58567,0.28687,0.8419,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,34751.6,0.67956,0.35784,0.90671,0.95579,0.9735,0.98661,0.86785,0.58561,0.28675,0.84173,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,35088.4,0.67519,0.35376,0.90674,0.95601,0.97307,0.9866,0.86817,0.58566,0.28652,0.84158,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,35425.1,0.67702,0.35644,0.9081,0.95616,0.9733,0.98658,0.86796,0.58561,0.28621,0.84147,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,35761.8,0.67748,0.35615,0.90961,0.95598,0.97298,0.98667,0.86815,0.58547,0.28595,0.84139,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,36098.6,0.67247,0.3526,0.9066,0.95577,0.97319,0.98658,0.86814,0.58524,0.28533,0.84127,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,36435.5,0.67091,0.35072,0.90431,0.9562,0.97314,0.9866,0.86828,0.58509,0.28499,0.84116,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,36772.3,0.66626,0.35022,0.90398,0.95641,0.9733,0.98673,0.86853,0.58492,0.28461,0.84105,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,37109,0.66773,0.34936,0.90477,0.95639,0.9733,0.98674,0.86845,0.58492,0.28416,0.84093,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,37445.6,0.66426,0.34811,0.90335,0.95546,0.97443,0.98677,0.86832,0.58496,0.28386,0.84087,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,37782.1,0.66555,0.34759,0.90424,0.95562,0.97461,0.98689,0.86856,0.58485,0.28358,0.84078,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,38118.8,0.66311,0.34625,0.90402,0.95443,0.97625,0.98694,0.86863,0.58493,0.28326,0.84065,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
