epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,4934.44,0.79982,0.21885,0.00204,0.96857,0.99615,0.98565,0.78044,0.89798,0.25333,0.00205,8.20908e-05,8.20908e-05,8.20908e-05
135,4970.9,0.80037,0.21989,0.00204,0.9724,0.99326,0.98597,0.78297,0.89364,0.25078,0.00204,7.50674e-05,7.50674e-05,7.50674e-05
136,5007.41,0.79297,0.2189,0.00204,0.97183,0.99612,0.98567,0.78107,0.89742,0.25005,0.00205,6.8454e-05,6.8454e-05,6.8454e-05
137,5043.89,0.79227,0.21459,0.00202,0.97029,0.99711,0.98559,0.78008,0.90175,0.2517,0.00206,6.22537e-05,6.22537e-05,6.22537e-05
138,5080.38,0.78876,0.21832,0.00203,0.97241,0.9923,0.98561,0.779,0.90488,0.25268,0.00207,5.64691e-05,5.64691e-05,5.64691e-05
139,5116.9,0.78967,0.21548,0.002,0.97001,0.99711,0.98596,0.78163,0.89861,0.25047,0.00205,5.11027e-05,5.11027e-05,5.11027e-05
140,5153.39,0.78707,0.21494,0.00204,0.9699,0.99711,0.98605,0.77897,0.90769,0.25295,0.00208,4.61569e-05,4.61569e-05,4.61569e-05
141,5189.82,0.78698,0.21765,0.00201,0.97179,0.99484,0.98631,0.77921,0.9037,0.25239,0.00207,4.16339e-05,4.16339e-05,4.16339e-05
142,5226.28,0.78404,0.21786,0.002,0.97093,0.99638,0.986,0.77914,0.90365,0.25204,0.00207,3.75356e-05,3.75356e-05,3.75356e-05
143,5262.82,0.78105,0.21228,0.00199,0.9718,0.9949,0.98609,0.78107,0.89919,0.2513,0.00205,3.38639e-05,3.38639e-05,3.38639e-05
144,5299.29,0.78337,0.21531,0.002,0.97078,0.99711,0.98603,0.77991,0.90286,0.2519,0.00207,3.06204e-05,3.06204e-05,3.06204e-05
145,5335.74,0.78805,0.2148,0.00202,0.9696,0.99711,0.98604,0.78132,0.89785,0.25082,0.00205,2.78064e-05,2.78064e-05,2.78064e-05
146,5372.2,0.79182,0.21425,0.00203,0.9713,0.99615,0.98596,0.77917,0.90581,0.25279,0.00207,2.54233e-05,2.54233e-05,2.54233e-05
147,5408.68,0.78075,0.21347,0.00201,0.97277,0.99705,0.98564,0.78067,0.8985,0.25012,0.00205,2.34721e-05,2.34721e-05,2.34721e-05
148,5445.15,0.78022,0.21104,0.00199,0.97094,0.9968,0.98583,0.78071,0.90214,0.25213,0.00206,2.19535e-05,2.19535e-05,2.19535e-05
149,5481.64,0.78032,0.21345,0.00199,0.97088,0.99486,0.98578,0.78117,0.89822,0.25151,0.00205,2.08684e-05,2.08684e-05,2.08684e-05
150,5518.12,0.78668,0.21752,0.002,0.97269,0.99394,0.98576,0.77982,0.90313,0.25206,0.00207,2.02171e-05,2.02171e-05,2.02171e-05
